,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Kirkuk,IQ,35.4681,44.3922,76.08,36,36,4.81,
352,Broken Hill,AU,-31.95,141.4333,88.57,20,99,10.94,
353,Tongchuan,CN,35.0806,109.0897,58.5,50,48,1.43,
354,Arrecife,ES,28.963,-13.5477,69.87,88,40,8.05,
355,Bayji,IQ,34.9311,43.487,76.84,35,35,5.46,
356,San Alberto,CO,7.7611,-73.3922,73.74,92,93,1.95,
357,Pangody,RU,65.85,74.4859,0.95,97,76,7.05,
358,Bagn,NO,60.8225,9.5521,46.08,94,100,6.82,
359,Guadalupe,MX,25.6833,-100.25,71.35,84,1,9.22,
360,Esna,EG,25.2934,32.554,75.2,26,0,8.66,
361,Diego De Almagro,CL,-26.3667,-70.05,59.68,41,0,0.4,
362,Harihar,IN,14.5167,75.8,80.51,69,99,14.58,
363,Lungi,SL,9.2212,-12.6831,72.34,97,100,2.42,
364,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.65,95,100,10.11,
365,Hereford,GB,52.0568,-2.7148,43.74,93,16,3.6,
366,Ugoofaaru,MV,5.6667,73.0,80.15,80,90,7.52,
367,Bukit Rambai,MY,2.2594,102.1838,84.81,70,84,9.28,
368,Mandalgovi,MN,45.7625,106.2708,35.55,23,15,12.71,
369,Tahe,CN,52.3333,124.7333,41.76,31,96,6.42,
370,Mahibadhoo,MV,3.7833,72.9667,81.46,79,96,14.43,
371,Sisimiut,GL,66.9395,-53.6735,33.1,94,100,10.85,
372,Alugan,PH,12.2188,125.4808,80.89,87,100,10.89,
373,Pringsewu,ID,-5.3582,104.9744,86.63,67,82,4.21,
374,Mogadishu,SO,2.0371,45.3438,81.1,77,35,15.46,
375,Norman Wells,CA,65.282,-126.8329,19.31,86,6,3.76,
376,Marshall,US,34.3834,-86.3333,52.29,79,1,3.44,
377,Berlevag,NO,70.8578,29.0864,42.13,86,100,36.66,
378,Goba,ET,7.0167,39.9833,49.93,92,98,1.41,
379,Cabedelo,BR,-6.9811,-34.8339,75.87,79,74,10.16,
380,Ulladulla,AU,-35.35,150.4667,75.78,60,5,15.57,
381,Pirgos,GR,35.1167,25.7178,62.94,71,49,7.16,
382,Sorgun,TR,39.8101,35.186,51.91,78,100,3.02,
383,Barrhead,GB,55.7992,-4.3929,45.01,93,75,1.01,
384,Pagudpud,PH,18.5616,120.7868,85.89,59,15,17.4,
385,Santa Fe,AR,-31.6333,-60.7,66.99,95,94,4.0,
386,Artvin,TR,41.1667,41.8333,60.08,74,80,4.07,
387,Luderitz,NA,-26.6481,15.1594,56.21,69,0,13.73,
388,Zhangjiakou,CN,40.81,114.8794,46.4,71,84,1.81,
389,Bandarbeyla,SO,9.4942,50.8122,79.56,67,21,12.88,
390,Portland,US,45.5234,-122.6762,50.7,89,90,1.01,
391,Gulabpura,IN,25.9,74.6667,79.38,31,0,6.06,
392,Koulamoutou,GA,-1.1303,12.4736,69.8,100,100,0.43,
393,Salalah,OM,17.0151,54.0924,80.69,57,0,3.44,
394,Bengkulu,ID,-3.8004,102.2655,80.22,82,93,3.89,
395,Tiksi,RU,71.6872,128.8694,-0.62,97,97,5.68,
396,Syracuse,IT,37.0881,15.2792,66.31,71,99,23.85,
